SeqID;Isolate_Id;Isolate_Name;;Location;lat;lon;Host;Collection_Date;;;
>EPI_ISL_158397|A/mallard/Sweden/101831/2009|A_/_H4N6;EPI_ISL_158397;A/mallard/Sweden/101831/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-13;;;
>EPI_ISL_158398|A/mallard/Sweden/101900/2009|A_/_H4N3;EPI_ISL_158398;A/mallard/Sweden/101900/2009;A / H4N3;Europe / Sweden;;;Anas platyrhynchos;2009-11-14;;;
>EPI_ISL_158399|A/mallard/Sweden/102012/2009|A_/_H4N6;EPI_ISL_158399;A/mallard/Sweden/102012/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-16;;;
>EPI_ISL_158400|A/mallard/Sweden/102024/2009|A_/_H4N6;EPI_ISL_158400;A/mallard/Sweden/102024/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-16;;;
>EPI_ISL_158401|A/mallard/Sweden/102029/2009|A_/_H4N6;EPI_ISL_158401;A/mallard/Sweden/102029/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-16;;;
>EPI_ISL_158402|A/mallard/Sweden/102045/2009|A_/_H4N6;EPI_ISL_158402;A/mallard/Sweden/102045/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-16;;;
>EPI_ISL_158403|A/mallard/Sweden/102056/2009|A_/_H4N6;EPI_ISL_158403;A/mallard/Sweden/102056/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-16;;;
>EPI_ISL_158404|A/mallard/Sweden/102114/2009|A_/_H4N6;EPI_ISL_158404;A/mallard/Sweden/102114/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-17;;;
>EPI_ISL_158405|A/mallard/Sweden/102124/2009|A_/_H4N6;EPI_ISL_158405;A/mallard/Sweden/102124/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-17;;;
>EPI_ISL_158406|A/mallard/Sweden/102157/2009|A_/_H4N6;EPI_ISL_158406;A/mallard/Sweden/102157/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-18;;;
>EPI_ISL_158407|A/mallard/Sweden/80178/2008|A_/_H4N6;EPI_ISL_158407;A/mallard/Sweden/80178/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-19;;;
>EPI_ISL_158408|A/mallard/Sweden/104681/2009|A_/_H4N6;EPI_ISL_158408;A/mallard/Sweden/104681/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-21;;;
>EPI_ISL_158409|A/mallard/Sweden/104793/2009|A_/_H4N6;EPI_ISL_158409;A/mallard/Sweden/104793/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-22;;;
>EPI_ISL_158410|A/mallard/Sweden/104831/2009|A_/_H4N6;EPI_ISL_158410;A/mallard/Sweden/104831/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-23;;;
>EPI_ISL_158411|A/mallard/Sweden/104839/2009|A_/_H4N6;EPI_ISL_158411;A/mallard/Sweden/104839/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-23;;;
>EPI_ISL_158412|A/mallard/Sweden/104925/2009|A_/_H4N6;EPI_ISL_158412;A/mallard/Sweden/104925/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-24;;;
>EPI_ISL_158413|A/mallard/Sweden/104931/2009|A_/_H4N6;EPI_ISL_158413;A/mallard/Sweden/104931/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-24;;;
>EPI_ISL_158414|A/mallard/Sweden/105011/2009|A_/_H4N6;EPI_ISL_158414;A/mallard/Sweden/105011/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-25;;;
>EPI_ISL_158415|A/mallard/Sweden/105012/2009|A_/_H4N6;EPI_ISL_158415;A/mallard/Sweden/105012/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-25;;;
>EPI_ISL_158416|A/mallard/Sweden/105137/2009|A_/_H4N6;EPI_ISL_158416;A/mallard/Sweden/105137/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-27;;;
>EPI_ISL_158417|A/mallard/Sweden/105516/2009|A_/_H4N6;EPI_ISL_158417;A/mallard/Sweden/105516/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-12-02;;;
>EPI_ISL_158418|A/mallard/Sweden/124228/2010|A_/_H4N6;EPI_ISL_158418;A/mallard/Sweden/124228/2010;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2010-11-01;;;
>EPI_ISL_158419|A/mallard/Sweden/124418/2010|A_/_H4N6;EPI_ISL_158419;A/mallard/Sweden/124418/2010;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2010-11-03;;;
>EPI_ISL_158420|A/mallard/Sweden/102250/2009|A_/_H4N6;EPI_ISL_158420;A/mallard/Sweden/102250/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-19;;;
>EPI_ISL_158422|A/mallard/Sweden/104690/2009|A_/_H4N6;EPI_ISL_158422;A/mallard/Sweden/104690/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-21;;;
>EPI_ISL_160999|A/ruddy_shelduck/Mongolia/598C2/2009|A_/_H7N3;EPI_ISL_160999;A/ruddy_shelduck/Mongolia/598C2/2009;A / H7N3;Asia / Mongolia;;;Tadorna feruginea;2009-07-29;;;
>EPI_ISL_16253342|A/Eurasian_Wigeon/Netherlands/6/2022|A_/_H5N2;EPI_ISL_16253342;A/Eurasian_Wigeon/Netherlands/6/2022;A / H5N2;Europe / Netherlands / Eendenkooi Stolwijk;;;Avian;2022-11-23;;;
>EPI_ISL_165788|A/duck/Bangladesh/1687/2010|A_/_H1N1;EPI_ISL_165788;A/duck/Bangladesh/1687/2010;A / H1N1;Asia / Bangladesh;;;Avian;2010-07-16;;;
>EPI_ISL_165789|A/duck/Bangladesh/1352/2009|A_/_H1N1;EPI_ISL_165789;A/duck/Bangladesh/1352/2009;A / H1N1;Asia / Bangladesh;;;Avian;2009-01-28;;;
>EPI_ISL_165791|A/duck/Bangladesh/31687/2010|A_/_H1N1;EPI_ISL_165791;A/duck/Bangladesh/31687/2010;A / H1N1;Asia / Bangladesh;;;Avian;2010-07-11;;;
>EPI_ISL_165792|A/duck/Bangladesh/1584/2010|A_/_H1N3;EPI_ISL_165792;A/duck/Bangladesh/1584/2010;A / H1N3;Asia / Bangladesh;;;Avian;2010-01-20;;;
>EPI_ISL_165805|A/duck/Bangladesh/1521/2009|A_/_H4N6;EPI_ISL_165805;A/duck/Bangladesh/1521/2009;A / H4N6;Asia / Bangladesh;;;Avian;2009-10-21;;;
>EPI_ISL_165808|A/duck/Bangladesh/1559/2009|A_/_H5N2;EPI_ISL_165808;A/duck/Bangladesh/1559/2009;A / H5N2;Asia / Bangladesh;;;Avian;2009-12-18;;;
>EPI_ISL_165811|A/environment/Bangladesh/1008/2010|A_/_H7N9;EPI_ISL_165811;A/environment/Bangladesh/1008/2010;A / H7N9;Asia / Bangladesh;;;Environment;2010-09-23;;;
>EPI_ISL_166971|A/harbour_seal/Germany/1/2014|A_/_H10N7;EPI_ISL_166971;A/harbour_seal/Germany/1/2014;A / H10N7;Europe / Germany / Schleswig-Holstein / Helgoland;;;Seal;2014-10-07;;;
>EPI_ISL_167226|A/Seal/Sweden/SVA0546/2014|A_/_H10N7;EPI_ISL_167226;A/Seal/Sweden/SVA0546/2014_;A / H10N7;Europe / Sweden / Hallands Lan / Kungsbacka Kommun / Gate Klova, Halland-WGS84 g/m/s//N-57° 26′ 58,64″//E-11° 49′ 56,38″;;;Seal;2014-04-16;;;
>EPI_ISL_170566|A/harbour_seal/Germany/1/2014|A_/_H10N7;EPI_ISL_170566;A/harbour_seal/Germany/1/2014;A / H10N7;Europe / Germany / Schleswig-Holstein;;;Seal;2014-10-07;;;
>EPI_ISL_171721|A/chicken/England/2830/2015|A_/_H7N7;EPI_ISL_171721;A/chicken/England/2830/2015;A / H7N7;Europe / United Kingdom / Hampshire;;;Chicken;2015-01-30;;;
>EPI_ISL_17347344|A/Anas_platyrhynchos/Belgium/00330_0004/2023|A_/_H3N8;EPI_ISL_17347344;A/Anas_platyrhynchos/Belgium/00330_0004/2023;A / H3N8;Europe / Belgium / Province de Liege / Hollogne sur Geer;;;Mallard;2023-01-11;;;
>EPI_ISL_176811|A/Chicken/NL-Zeewolde/13003983/2013|A_/_H7N7;EPI_ISL_176811;A/Chicken/NL-Zeewolde/13003983/2013;A / H7N7;Europe / Netherlands / Provincie Flevoland / Gemeente Zeewolde;;;Gallus gallus;2013-03-18;;;
>EPI_ISL_176812|A/Chicken/NL-Zeewolde/13003983/2013|A_/_H7N7;EPI_ISL_176812;A/Chicken/NL-Zeewolde/13003983/2013;A / H7N7;Europe / Netherlands / Provincie Flevoland / Gemeente Zeewolde;;;Gallus gallus;2013-03-18;;;
>EPI_ISL_176815|A/chicken/NL-Uithuizermeeden/14004070/2014|A_/_H9N1;EPI_ISL_176815;A/chicken/NL-Uithuizermeeden/14004070/2014_;A / H9N1;Europe / Netherlands / Provincie Groningen / Eemsmond / Uithuizermeeden/;;;Gallus gallus;2014-03-26;;;
>EPI_ISL_177495|A/duck/Hunan/S3137/2009|A_/_H10N8;EPI_ISL_177495;A/duck/Hunan/S3137/2009;A / H10N8;Asia / China;;;Duck;2009-09-24;;;
>EPI_ISL_177497|A/duck/Hunan/S4280/2009|A_/_H10N8;EPI_ISL_177497;A/duck/Hunan/S4280/2009;A / H10N8;Asia / China;;;Duck;2009-12-09;;;
>EPI_ISL_179385|A/duck/Vietnam/LBM798/2014|A_/_H3N6;EPI_ISL_179385;A/duck/Vietnam/LBM798/2014;A / H3N6;Asia / Vietnam;;;Anas platyrhynchos;2014-12-04;;;
>EPI_ISL_17978925|A/mallard/Poland/P077w1/2018|A_/_H5N2;EPI_ISL_17978925;A/mallard/Poland/P077w1/2018;A / H5N2;Europe / Poland / Warmian-Masurian Voivedeship / Braniewo;;;Mallard duck;2018-09-12;;;
>EPI_ISL_17978951|A/mallard/Poland/P096/2020|A_/_H9N2;EPI_ISL_17978951;A/mallard/Poland/P096/2020;A / H9N2;Europe / Poland / Warmian-Masurian Voivedeship / Olsztyn;;;Mallard duck;2020-11-02;;;
>EPI_ISL_181123|A/duck/Vietnam/LBM559/2013|A_/_H3N2;EPI_ISL_181123;A/duck/Vietnam/LBM559/2013;A / H3N2;Asia / Vietnam;;;Anas platyrhynchos;2013-12-10;;;
>EPI_ISL_181970|A/duck/Jiangxi/24570/2009|A;EPI_ISL_181970;A/duck/Jiangxi/24570/2009;A;Asia / China;;;Duck;2009-12-06;;;
>EPI_ISL_18245819|A/swan/Poland/MB152/2022|A_/_H2N3;EPI_ISL_18245819;A/swan/Poland/MB152/2022;A / H2N3;Europe / Poland / Masovian Voivodeship / Białobrzegi;;;Swan;2022-07-15;;;
>EPI_ISL_18284471|A/chicken/Niigata/22A13T/2022|A_/_H5N1;EPI_ISL_18284471;A/chicken/Niigata/22A13T/2022;A / H5N1;Asia / Japan;;;Chicken;2022-11-18;;;
>EPI_ISL_18458721|A/greylag_goose/Germany-HE/2018AR230-AK3822/2018|A_/_H5N2;EPI_ISL_18458721;A/greylag_goose/Germany-HE/2018AR230-AK3822/2018;A / H5N2;Europe / Germany;;;Avian;2018-04-17;;;
>EPI_ISL_18463194|A/wild_duck/Germany-NW/2023AI07895/2023|A_/_H3N8;EPI_ISL_18463194;A/wild_duck/Germany-NW/2023AI07895/2023;A / H3N8;Europe / Germany;;;Avian;2023-10-10;;;
>EPI_ISL_18537218|A/Mallard/Netherlands/96/2019|A_/_H5N3;EPI_ISL_18537218;A/Mallard/Netherlands/96/2019;A / H5N3;Europe / Netherlands / Oud-Alblas;;;Avian;2019-12-09;;;
>EPI_ISL_18593866|A/Chicken/Netherlands/23025569-021/2023|A_/_H7N3;EPI_ISL_18593866;A/Chicken/Netherlands/23025569-021/2023;A / H7N3;Europe / Netherlands / Provincie Friesland;;;Gallus gallus;2023-11-29;;;
>EPI_ISL_18607170|A/Gallus_gallus/Belgium/11307_0002/2023|A_/_H5N1;EPI_ISL_18607170;A/Gallus_gallus/Belgium/11307_0002/2023;A / H5N1;"Europe / Belgium / Provincie West-Vlaanderen / Esen / 51.01162 ; 2.92029";51,01162;2,92029;Gallus gallus;2023-11-30;;Dead;Domestic
>EPI_ISL_18634820|A/mallard_duck/Austria/23158198-001/2023|A_/_H3N8;EPI_ISL_18634820;A/mallard_duck/Austria/23158198-001/2023;A / H3N8;Europe / Austria / Lower Austria / Amstetten;;;Mallard duck;2023-11-30;;;
>EPI_ISL_18660621|A/Mallard/Netherlands/8/2023|A_/_H5N3;EPI_ISL_18660621;A/Mallard/Netherlands/8/2023;A / H5N3;Europe / Netherlands / Oud-Alblas;;;Avian;2023-11-02;;;
>EPI_ISL_18660931|A/barnacle_goose/Sweden/SVA231201SZ0276/FB004873/K-2023|A_/_H5N1;EPI_ISL_18660931;A/barnacle_goose/Sweden/SVA231201SZ0276/FB004873/K-2023;A / H5N1;Europe / Sweden / Blekinge Lan / Solvesborgs Kommun;56,053038;14,583538;Branta leucopsis;2023-11-24;Oro-pharyngeal swab;Dead;Wild
>EPI_ISL_18668242|A/Gallus_gallus/Belgium/11632_0003/2023|A_/_H5N1;EPI_ISL_18668242;A/Gallus_gallus/Belgium/11632_0003/2023;A / H5N1;"Europe / Belgium / Provincie West-Vlaanderen / Esen / 51.00938 ; 2.91574";51,00938;2,91574;Gallus gallus;2023-12-08;;Dead;Domestic
>EPI_ISL_18745069|A/barnacle_goose/Germany-SH/2023AI08822/2023|A_/_H5N1;EPI_ISL_18745069;A/barnacle_goose/Germany-SH/2023AI08822/2023|H5N1|2023-11-03;A / H5N1;Europe / Germany;54,849536;8,61517;;2023-11-03;;;
>EPI_ISL_18745071|A/chicken/Germany-NI/2023AI08838/2023|A_/_H5N1;EPI_ISL_18745071;A/chicken/Germany-NI/2023AI08838/2023;A / H5N1;Europe / Germany;53,74;8,61;Gallus gallus domesticus;2023-11-17;;;
>EPI_ISL_18745073|A/turkey/Germany-MV/2023AI08844/2023|A_/_H5N1;EPI_ISL_18745073;A/turkey/Germany-MV/2023AI08844/2023;A / H5N1;Europe / Germany;53,46;11,7;Meleagris gallopavo domesticus;2023-11-20;;;
>EPI_ISL_18745078|A/turkey/Germany-BB/2023AI09073/2023|A_/_H5N1;EPI_ISL_18745078;A/turkey/Germany-BB/2023AI09073/2023;A / H5N1;Europe / Germany;52,86;12,31;Meleagris gallopavo domesticus;2023-11-28;;;
>EPI_ISL_18745079|A/peregrine_falcon/Germany-HH/2023AI09076/2023|A_/_H5N1;EPI_ISL_18745079;A/peregrine_falcon/Germany-HH/2023AI09076/2023|H5N1|2023-11-27;A / H5N1;Europe / Germany;53,5117;10,086799;;2023-11-27;;;
>EPI_ISL_18745084|A/domestic_goose/Germany-MV/2023AI09159/2023|A_/_H5N1;EPI_ISL_18745084;A/domestic_goose/Germany-MV/2023AI09159/2023;A / H5N1;Europe / Germany;53,83;10,98;Anatidae;2023-12-05;;;
>EPI_ISL_18788080|A/turkey/Poland/H542-NM/2023|A_/_H5N1;EPI_ISL_18788080;A/turkey/Poland/H542-NM/2023;A / H5N1;"Europe / Poland / West Pomeranian Voivodeship/Goleniowski region/Ininka 6/53°33'33.5""N 14°45'32.9""E";53,559306;14,759139;Meleagris gallopavo;2023-12-06;Organ;Dead;Domestic
>EPI_ISL_18789928|A/barnacle_goose/Sweden/SVA231221SZ0336_/FB005040/K-2023|A_/_H5N1;EPI_ISL_18789928;A/barnacle_goose/Sweden/SVA231221SZ0336_/FB005040/K-2023;A / H5N1;Europe / Sweden / Blekinge Lan / Karlshamns Kommun;56,192554;14,949924;Branta leucopsis;2023-12-18;Oro-pharyngeal swab;Dead;Wild
>EPI_ISL_18789944|A/barnacle_goose/Sweden/SVA231221SZ0336_/FB005041/K-2023|A_/_H5N1;EPI_ISL_18789944;A/barnacle_goose/Sweden/SVA231221SZ0336_/FB005041/K-2023;A / H5N1;Europe / Sweden / Blekinge Lan / Karlshamns Kommun;56,205166;14,833625;Branta leucopsis;2023-12-18;Oro-pharyngeal swab;Dead;Wild
>EPI_ISL_18815362|A/Turkey/Sweden/SVA240116SZ0719/FB010937/M-2024|A_/_H5N1;EPI_ISL_18815362;A/Turkey/Sweden/SVA240116SZ0719/FB010937/M-2024;A / H5N1;Europe / Sweden / Skane Lan / Ystads Kommun;55,447817;14,072587;Meleagris gallopavo;2024-01-15;Oro-pharyngeal swab;Dead;Domestic
>EPI_ISL_18815363|A/Turkey/Sweden/SVA240116SZ0719/FB010938/M-2024|A_/_H5N1;EPI_ISL_18815363;A/Turkey/Sweden/SVA240116SZ0719/FB010938/M-2024;A / H5N1;Europe / Sweden / Skane Lan / Ystads Kommun;55,447817;14,072587;Meleagris gallopavo;2024-01-15;Oro-pharyngeal swab;Dead;Domestic
>EPI_ISL_18824085|A/Canada_Goose/England/142157/2023|A_/_H5N1;EPI_ISL_18824085;A/Canada_Goose/England/142157/2023;A / H5N1;Europe / United Kingdom / England / West Sussex;50,866843 ;-0,54515437;Branta canadensis;2023-12-28;;;
>EPI_ISL_18824201|A/greylag_goose/France/24P000660/2024|A_/_H5N1;EPI_ISL_18824201;A/greylag_goose/France/24P000660/2024;A / H5N1;Europe / France;45,95265771819387;5,025777339;Greylag goose;2024-01-07;;Dead;Wild
>EPI_ISL_18862255|A/Bean_goose/Germany-BE/2023AI09307/2023|A_/_H5N1;EPI_ISL_18862255;A/Bean_goose/Germany-BE/2023AI09307/2023;A / H5N1;Europe / Germany;52,570482;13,244963;Anser fabalis;2023-12-06;;;
>EPI_ISL_18862256|A/domestic_duck/Germany-NI/2023AI09491/2023|A_/_H5N1;EPI_ISL_18862256;A/domestic_duck/Germany-NI/2023AI09491/2023|H5N1|2023-12-21;A / H5N1;Europe / Germany;53,54;7,71;;2023-12-21;;;
>EPI_ISL_18862257|A/Common_Crane/Germany-TH/2023AI09495/2023|A_/_H5N1;EPI_ISL_18862257;A/Common_Crane/Germany-TH/2023AI09495/2023;A / H5N1;Europe / Germany;51,377154;10,877466;Grus grus;2023-12-18;;;
>EPI_ISL_18862258|A/Common_Kestrel/Germany-NW/2023AI09478/2023|A_/_H5N1;EPI_ISL_18862258;A/Common_Kestrel/Germany-NW/2023AI09478/2023;A / H5N1;Europe / Germany;52,291088;8,914882;Falco tinnunculus;2023-12-18;;;
>EPI_ISL_18862259|A/chicken/Germany-SH/2023AI09451/2023|A_/_H5N1;EPI_ISL_18862259;A/chicken/Germany-SH/2023AI09451/2023;A / H5N1;Europe / Germany;54,27;10,69;Gallus gallus domesticus;2023-12-19;;;
>EPI_ISL_18862260|A/chicken/Germany-ST/2023AI09470/2023|A_/_H5N1;EPI_ISL_18862260;A/chicken/Germany-ST/2023AI09470/2023;A / H5N1;Europe / Germany;51,9;11,81;Gallus gallus domesticus;2023-12-19;;;
>EPI_ISL_18862261|A/Black-necked_Swan/Germany-BB/2023AI09499/2023|A_/_H5N1;EPI_ISL_18862261;A/Black-necked_Swan/Germany-BB/2023AI09499/2023;A / H5N1;Europe / Germany;51,743117;14,347694;Cygnus melancoryphus;2023-12-30;;;
>EPI_ISL_18862262|A/Canada_Goose/Germany-TH/2024AI00032/2023|A_/_H5N1;EPI_ISL_18862262;A/Canada_Goose/Germany-TH/2024AI00032/2023|H5N1|2023-12-27;A / H5N1;Europe / Germany;50,303075;11,172894;;2023-12-27;;;
>EPI_ISL_18862264|A/domestic_duck/Germany-MV/2024AI00098/2024|A_/_H5N1;EPI_ISL_18862264;A/domestic_duck/Germany-MV/2024AI00098/2024|H5N1|2024-01-02;A / H5N1;Europe / Germany;54,3;13,08;;2024-01-02;;;
>EPI_ISL_18862265|A/chicken/Germany-MV/2024AI00101/2024|A_/_H5N1;EPI_ISL_18862265;A/chicken/Germany-MV/2024AI00101/2024;A / H5N1;Europe / Germany;54,28;13,28;Gallus gallus domesticus;2024-01-03;;;
>EPI_ISL_18866885|A/mallard/Sweden/SVA240117SZ0347/FB000141/M-2024|A_/_H5N1;EPI_ISL_18866885;A/mallard/Sweden/SVA240117SZ0347/FB000141/AB-2024;A / H5N1;Europe / Sweden / Stockholms Lan / Nacka Kommun;59,299875667170156;18,15105932;Mallard;2024-01-10;Oro-pharyngeal swab;Dead;Wild
>EPI_ISL_18885828|A/chicken/Poland/H22-T2/2024|A_/_H5N1;EPI_ISL_18885828;A/chicken/Poland/H22-T2/2024;A / H5N1;"Europe / Poland / Greater Poland Voivodeship/szamotulski region/Piaskowo 30A/52°34'34.8""N 16°35'43.1""E";52,576333;16,595306;Gallus gallus domesticus;2024-01-27;Oro-pharyngeal swab;Sick;Domestic
>EPI_ISL_18885854|A/turkey/Poland/H36-T3/2024|A_/_H5N1;EPI_ISL_18885854;A/turkey/Poland/H36-T3/2024;A / H5N1;"Europe / Poland / Greater Poland Voivodeship/miedzychodzki region/Daleszynek 33/52°32'46.0""N 16°08'38.6""E";52,546111;16,144056;Meleagris gallopavo;2024-02-05;Oro-pharyngeal swab;Sick;Domestic
>EPI_ISL_18885855|A/mute_swan/Poland/MB021-N/2024|A_/_H5N1;EPI_ISL_18885855;A/mute_swan/Poland/MB021-N/2024;A / H5N1;"Europe / Poland / Lower Silesian Voivodeship/Jelenia Gora/50°53'19.4""N 15°44'15.7""E";50,888722;15,737694;Cygnus olor;2024-01-09;Organ;Dead;Wild
>EPI_ISL_18918472|A/Muteswan/Sweden/SVA240202SZ0099/FB000320/AB-2024|A_/_H5N1;EPI_ISL_18918472;A/Muteswan/Sweden/SVA240202SZ0099/FB000320/AB-2024;A / H5N1;Europe / Sweden / Stockholms Lan / Stockholms Kommun;59,325776536570885;18,01007853;Cygnus olor;2024-01-30;Oro-pharyngeal swab;Sick;Wild
>EPI_ISL_18918493|A/Muteswan/Sweden/SVA240202SZ128/FB000337/AB-2024|A_/_H5N1;EPI_ISL_18918493;A/Muteswan/Sweden/SVA240202SZ128/FB000337/AB-2024;A / H5N1;Europe / Sweden / Stockholms Lan / Stockholms Kommun;59,325776536570885;18,01007853;Cygnus olor;2024-01-30;Oro-pharyngeal swab;Sick;Wild
>EPI_ISL_18918508|A/Muteswan/Sweden/SVA240202SZ128/FB000338/AB-2024|A_/_H5N1;EPI_ISL_18918508;A/Muteswan/Sweden/SVA240202SZ128/FB000338/AB-2024;A / H5N1;Europe / Sweden / Stockholms Lan / Stockholms Kommun;59,325776536570885;18,01007853;Cygnus olor;2024-01-30;Oro-pharyngeal swab;Sick;Wild
>EPI_ISL_18918527|A/Muteswan/Sweden/SVA240202SZ128/FB000344/AB-2024|A_/_H5N1;EPI_ISL_18918527;A/Muteswan/Sweden/SVA240202SZ128/FB000344/AB-2024;A / H5N1;Europe / Sweden / Stockholms Lan / Stockholms Kommun;59,325776536570885;18,01007853;Cygnus olor;2024-01-30;Oro-pharyngeal swab;Sick;Wild
>EPI_ISL_18918529|A/Muteswan/Sweden/SVA240202SZ128/FB000345/AB-2024|A_/_H5N1;EPI_ISL_18918529;A/Muteswan/Sweden/SVA240202SZ128/FB000345/AB-2024;A / H5N1;Europe / Sweden / Stockholms Lan / Stockholms Kommun;59,325776536570885;18,01007853;Cygnus olor;2024-01-30;Oro-pharyngeal swab;Sick;Wild
>EPI_ISL_189340|A/mallard/Sweden/101165/2009|A_/_H8N4;EPI_ISL_189340;A/mallard/Sweden/101165/2009;A / H8N4;Europe / Sweden;;;Anas platyrhynchos;2009-11-05;;;
>EPI_ISL_189341|A/mallard/Sweden/223/2002|A_/_H10N2;EPI_ISL_189341;A/mallard/Sweden/223/2002;A / H10N2;Europe / Sweden;;;Anas platyrhynchos;2002-10-24;;;
